id,section,instructions,question,response_type,answer_text,answer_values,answer_scores
24,Emotional well-being,"These questions are about how you feel and how things have been with you during the past 4 weeks. For each question, please give the one answer that comes closest to the way you have been feeling.",Have you been a very nervous person?,mc,"All of the time
Most of the time
A good bit of the time
Some of the time
A little of the time
None of the time","1
2
3
4
5
6","0
20
40
60
80
100"
25,Emotional well-being,"These questions are about how you feel and how things have been with you during the past 4 weeks. For each question, please give the one answer that comes closest to the way you have been feeling.",Have you felt so down in the dumps that nothing could cheer you up?,mc,"All of the time
Most of the time
A good bit of the time
Some of the time
A little of the time
None of the time","1
2
3
4
5
6","0
20
40
60
80
100"
26,Emotional well-being,"These questions are about how you feel and how things have been with you during the past 4 weeks. For each question, please give the one answer that comes closest to the way you have been feeling.",Have you felt calm and peaceful?,mc,"All of the time
Most of the time
A good bit of the time
Some of the time
A little of the time
None of the time","1
2
3
4
5
6","100
80
60
40
20
0"
27,Energy/fatigue,"These questions are about how you feel and how things have been with you during the past 4 weeks. For each question, please give the one answer that comes closest to the way you have been feeling.",Did you have a lot of energy?,mc,"All of the time
Most of the time
A good bit of the time
Some of the time
A little of the time
None of the time","1
2
3
4
5
6","100
80
60
40
20
0"
28,Emotional well-being,"These questions are about how you feel and how things have been with you during the past 4 weeks. For each question, please give the one answer that comes closest to the way you have been feeling.",Have you felt downhearted and blue?,mc,"All of the time
Most of the time
A good bit of the time
Some of the time
A little of the time
None of the time","1
2
3
4
5
6","0
20
40
60
80
100"
29,Energy/fatigue,"These questions are about how you feel and how things have been with you during the past 4 weeks. For each question, please give the one answer that comes closest to the way you have been feeling.",Did you feel worn out?,mc,"All of the time
Most of the time
A good bit of the time
Some of the time
A little of the time
None of the time","1
2
3
4
5
6","0
20
40
60
80
100"
30,Emotional well-being,"These questions are about how you feel and how things have been with you during the past 4 weeks. For each question, please give the one answer that comes closest to the way you have been feeling.",Have you been a happy person?,mc,"All of the time
Most of the time
A good bit of the time
Some of the time
A little of the time
None of the time","1
2
3
4
5
6","100
80
60
40
20
0"
31,Energy/fatigue,"These questions are about how you feel and how things have been with you during the past 4 weeks. For each question, please give the one answer that comes closest to the way you have been feeling.",Did you feel tired?,mc,"All of the time
Most of the time
A good bit of the time
Some of the time
A little of the time
None of the time","1
2
3
4
5
6","0
20
40
60
80
100"
32,Social functioning,NA,"During the past 4 weeks, how much of the time has your physical health or emotional problems interfered with your social activities (like visiting with friends, relatives, etc.)?",mc,"All of the time
Most of the time
Some of the time
A little of the time
None of the time","1
2
3
4
5","0
25
50
75
100"
33,General health,How TRUE or FALSE is each of the following statements for you.,I seem to get sick a little easier than other people,mc,"Definitely true
Mostly true
Don't know
Mostly false
Definitely false","1
2
3
4
5","0
25
50
75
100"
34,General health,How TRUE or FALSE is each of the following statements for you.,I am as healthy as anybody I know,mc,"Definitely true
Mostly true
Don't know
Mostly false
Definitely false","1
2
3
4
5","100
75
50
25
0"
35,General health,How TRUE or FALSE is each of the following statements for you.,I expect my health to get worse,mc,"Definitely true
Mostly true
Don't know
Mostly false
Definitely false","1
2
3
4
5","0
25
50
75
100"
36,General health,How TRUE or FALSE is each of the following statements for you.,My health is excellent,mc,"Definitely true
Mostly true
Don't know
Mostly false
Definitely false","1
2
3
4
5","100
75
50
25
0"
